Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
107,T2,,,,,,,,,,He can take break from criclet for one day & take care of younger brother
108,T2,,,,,,,,,,
109,T2,,,,,,"Her brother can accompany her she herself can, end her with her friend or by auto, or she could be droppe or picked on bike",,,Its her dream to become hair dresser. She should give some time family members ,
110,T2,,"If she is being battered everyday, it won be possible for her to tolerate",Even she has right the right to wear clothes,Because he doesnt like to tease girls,,She has a right to go out,Even she has a right to work out ,,,
111,T2,He should ask properly if she has problems with him,,there are girls in the neighbourhood. she has a right to live independently,"He should take action Here. if the girl in question was their sister, then how would it feeel. he should tell the parents of his friends","the mind is fresh when one is young, therefore he should be allowed to play","this program happens only once , where she will meet her friends. She should be allowed to go",,,,She should go for picnic. its ok brother doesn play cricket one day
112,T2,He should not beat vinita but explain to her,Tushaarś father should not drink. He should not beat and insult his mother,,Shoeb should not stay calm & his friends should not harass girls,,,If both of them earn there will be lots of money adn the can repay their loan,I dont think it is right. they both should work. if both work then it will be easier. boy can take care of the house and girl can cook,,
113,T2,,,,His friends letch at girls. he doesnt like it,,Her brother was telling her to not to go to program. She has a right to ,She has a right to work in the company,,She has a right to work,She has a right to go out
114,T2,,This all is going on in Tusharś home. All three should sit and solve the matter,,Shoeb should tell someone and complaint about these boys,Even he has human rights,She also has a human right to go out,,,,Seema has a right to go out
115,T2,,,,ganesh should not remain quiet because if you see this type of things then make a complaint ,,I disagree with Nisha's family because they should allow her for programme and brother can go with her ,,,,I disagree with father
116,T2,,I agree with samir and every boy get angree if his mother suffer from harrasment and then thinking like this ,,Ganesh should not remain quiet and he should explain his friends. If they not listen then leave those friends ,,I disagree with family but Nisha's brother can go with her or may be they will send Nisha with her friends ,I disagree with mahesh and Nisha should explain Mahesh if we work then more money will come ,,I disagree with ramesh but priyanaka should start buisness in house then she can also take care the childrens,I disagree with father because the picnic is only for one day. If her brother can not play one day it is ok . 
117,T2,,,,,,,,,,
118,T2,,,,Ganesh should not remain quiet because girls can make complaint and send to boy in jail ,I disagree with parents because now chetu is small and after some time when he grow then he understand ,I agree with nisha's parents but her brother can go with her for programme,I disagree with mahesh and she should talk with mahesh ,,I disagree with ramesh and priyanaka should expalin to the the ramesh,
119,T2,,I agree with samir because every day his mother bitten by father ,,,,,,,,
120,T2,I disagree with ramesh because he can talk with her and expalin ,I disagree with samir because he should expalin his father ,This is not poonam fault because she like fashion ,Ganesh should not remain quiet ,I disagree with parents because chetu is small ,I disagree with Nisha's family because they should allow her to go for progrmme,I disagree with mahesh and Nisha should tell him we both can work ,I disagree with mother because she should ask both to do the household chores ,I disagree with ramesh ,I disagree with father and Nina's brother should take care the small children for one day
121,T2,"I disagree, Ramesh should explan to Pranita that she should not have done this",,,"He should not be quiet, because the girls are like his sisters and hence they should not stop it. ",,"I agree, her brother should go along with her ",,,,
122,T2,,"I agree with Samir, because till the time his father improves he will stay in the village",,"Ganseh should not remain quiet because, he should look at the girls like his sisters and intervene. Because if he teases the gilrs like his friends he will becaome 'chapris' like them ","I disagree with the parents, if he does not play during his young days then when will he play. This should remain in the minds of his parent",,,,,
123,T2,,"I agree with Samir, because he is worried about his mother",,Ganesh should not remain quiet because he can give good advice to his friends ,,,,"I agree, because girls only should study",,
124,T2,"I disagree with Ramesh, Ramesh should understand",,,,,"I disagree, she should go along with her brother","I disagree, because everyone should come together and work, in this way they will earn more money",,,
125,T2,,,,He should take some action ,He can play games with girls,The community thinks she cannot walk alone,,,,Her brother does not have any work so he can look after the younger brother 
126,T2,,,,They should not tease the girls and listen to Ganesh,"It is not his fault, he is like that",,,,,
